,time,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2,cosine_semanticL,partner_direction,utterance_length1,utterance_length2,condition_info,condition
0,0,0.23570226039551587,0.0,0.22360679774997896,0.0,0.0,0.0,0.0,0.0,0.25132373353959037,INV>CHI,26,1,021RS.cha.conv.txt-select.txt-rand.txt,SLI
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11618710233606544,CHI>INV,1,6,021RS.cha.conv.txt-select.txt-rand.txt,SLI
2,2,0.13608276348795434,0.0,0.16366341767699427,0.0,0.0,0.0,0.0,0.0,0.40558637157845,INV>CHI,6,20,021RS.cha.conv.txt-select.txt-rand.txt,SLI
3,3,0.5345224838248488,0.26967994498529685,0.5014858873767987,0.27824333745610097,0.0,0.0,0.0,0.0,0.49463815838853775,CHI>INV,20,14,021RS.cha.conv.txt-select.txt-rand.txt,SLI
4,4,0.2182178902359924,0.0,0.3061862178478973,0.0,0.0,0.0,0.0,0.0,0.3897757059149607,INV>CHI,14,4,021RS.cha.conv.txt-select.txt-rand.txt,SLI
5,5,0.2932942300427066,0.0,0.22742941307367104,0.0,0.0,0.0,0.0,0.0,0.44993107114650976,CHI>INV,4,31,021RS.cha.conv.txt-select.txt-rand.txt,SLI
6,6,0.1796053020267749,0.0,0.18569533817705186,0.0,0.0,0.0,0.0,0.0,0.2830095232934561,INV>CHI,31,1,021RS.cha.conv.txt-select.txt-rand.txt,SLI
7,7,0.0,0.0,0.0,0.0,0.1414213562373095,0.0,0.1414213562373095,0.0,0.37523088400977167,CHI>INV,1,26,021RS.cha.conv.txt-select.txt-rand.txt,SLI
8,8,0.41602514716892186,0.12126781251816648,0.5345224838248487,0.12126781251816648,0.24494897427831783,0.0,0.24494897427831783,0.0,0.5799120325139568,INV>CHI,26,3,021RS.cha.conv.txt-select.txt-rand.txt,SLI
9,9,0.2182178902359924,0.0,0.3849001794597505,0.0,0.0,0.0,0.0,0.0,0.4693279407098221,CHI>INV,3,7,021RS.cha.conv.txt-select.txt-rand.txt,SLI
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11618710233606544,INV>CHI,7,1,021RS.cha.conv.txt-select.txt-rand.txt,SLI
11,11,0.2581988897471611,0.0,0.2581988897471611,0.0,0.0,0.0,0.0,0.0,0.2542988951007157,CHI>INV,1,11,021RS.cha.conv.txt-select.txt-rand.txt,SLI
12,12,0.1889822365046136,0.0,0.3779644730092272,0.0,0.17407765595569785,0.0,0.17407765595569785,0.0,0.5873438961659687,INV>CHI,11,3,021RS.cha.conv.txt-select.txt-rand.txt,SLI
13,13,0.39223227027636803,0.0,0.36514837167011066,0.0,0.0949157995752499,0.0,0.09016696346674324,0.0,0.5419138471865255,CHI>INV,3,19,021RS.cha.conv.txt-select.txt-rand.txt,SLI
14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1864463867123255,INV>CHI,19,1,021RS.cha.conv.txt-select.txt-rand.txt,SLI
15,15,0.31622776601683794,0.0,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,0.26556647355125906,CHI>INV,1,16,021RS.cha.conv.txt-select.txt-rand.txt,SLI
16,16,0.5656854249492379,0.0,0.5656854249492379,0.0,0.0,0.0,0.0,0.0,0.366737601995512,INV>CHI,16,3,021RS.cha.conv.txt-select.txt-rand.txt,SLI
17,17,0.533113989983183,0.10206207261596574,0.5240002587656238,0.09999999999999998,0.0,0.0,0.0,0.0,0.4110577851440588,CHI>INV,3,37,021RS.cha.conv.txt-select.txt-rand.txt,SLI
18,18,0.4950737714883371,0.36084391824351614,0.4950737714883371,0.4242640687119285,0.40064154010750197,0.0,0.40064154010750197,0.0,0.39738919731225275,INV>CHI,37,5,021RS.cha.conv.txt-select.txt-rand.txt,SLI
19,19,0.21320071635561041,0.15811388300841897,0.40824829046386296,0.4008918628686366,0.3418817293789138,0.0,0.4193139346887673,0.0,0.3871483325703342,CHI>INV,5,11,021RS.cha.conv.txt-select.txt-rand.txt,SLI
20,20,0.2886751345948129,0.31622776601683794,0.5547001962252291,0.5345224838248488,0.21320071635561041,0.0,0.19611613513818402,0.0,0.3785937972367983,INV>CHI,11,2,021RS.cha.conv.txt-select.txt-rand.txt,SLI
21,21,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.4472135954999579,0.2886751345948129,0.0,0.2886751345948129,0.0,0.22104315297649935,CHI>INV,2,6,021RS.cha.conv.txt-select.txt-rand.txt,SLI
22,22,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.23570226039551587,0.0,0.3044291401415895,INV>CHI,6,3,021RS.cha.conv.txt-select.txt-rand.txt,SLI
23,23,0.0,0.0,0.0,0.0,0.23570226039551587,0.0,0.23570226039551587,0.0,0.3044291401415895,CHI>INV,3,6,021RS.cha.conv.txt-select.txt-rand.txt,SLI
24,24,0.3999999999999999,0.2581988897471611,0.3999999999999999,0.2581988897471611,0.20412414523193154,0.0,0.20412414523193154,0.0,0.03718402921764363,INV>CHI,6,4,021RS.cha.conv.txt-select.txt-rand.txt,SLI
25,25,0.5163977794943222,0.2886751345948129,0.5163977794943222,0.2886751345948129,0.1889822365046136,0.0,0.1889822365046136,0.0,0.09678181167024535,CHI>INV,4,5,021RS.cha.conv.txt-select.txt-rand.txt,SLI
26,26,0.40824829046386296,0.0,0.40824829046386296,0.0,0.2182178902359924,0.0,0.2182178902359924,0.0,0.3068640699955485,INV>CHI,5,3,021RS.cha.conv.txt-select.txt-rand.txt,SLI
27,27,0.2721655269759087,0.0,0.2581988897471611,0.0,0.0,0.0,0.0,0.0,0.4825001857588127,CHI>INV,3,16,021RS.cha.conv.txt-select.txt-rand.txt,SLI
28,28,0.4082482904638631,0.0,0.3872983346207417,0.0,0.0,0.0,0.0,0.0,0.47859176100311995,INV>CHI,16,3,021RS.cha.conv.txt-select.txt-rand.txt,SLI
29,29,0.5400617248673217,0.0,0.5163977794943222,0.0,0.0,0.0,0.0,0.0,0.4692972101168953,CHI>INV,3,59,021RS.cha.conv.txt-select.txt-rand.txt,SLI
30,30,0.6154574548966636,0.043852900965351466,0.7710996009560598,0.12587720374450334,0.14727869405615407,0.0,0.14442970747104036,0.0,0.6575627853870502,INV>CHI,59,9,021RS.cha.conv.txt-select.txt-rand.txt,SLI
31,31,0.6139406135149205,0.0,0.7348469228349533,0.0,0.0,0.0,0.0,0.0,0.6065694883165748,CHI>INV,9,8,021RS.cha.conv.txt-select.txt-rand.txt,SLI
32,32,0.6324555320336759,0.0,0.6324555320336759,0.0,0.0,0.0,0.0,0.0,0.3983111242130125,INV>CHI,8,1,021RS.cha.conv.txt-select.txt-rand.txt,SLI
33,33,0.3779644730092272,0.0,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.23953716641642864,CHI>INV,1,7,021RS.cha.conv.txt-select.txt-rand.txt,SLI
34,34,0.5669467095138409,0.23570226039551587,0.3779644730092272,0.23570226039551587,0.0,0.0,0.0,0.0,0.3673434494516693,INV>CHI,7,4,021RS.cha.conv.txt-select.txt-rand.txt,SLI
35,35,0.5443310539518174,0.3086066999241839,0.7071067811865476,0.5443310539518174,0.3441236008058426,0.0,0.3441236008058426,0.0,0.5138910491734221,CHI>INV,4,13,021RS.cha.conv.txt-select.txt-rand.txt,SLI
36,36,0.32444284226152503,0.0,0.282842712474619,0.0,0.0,0.0,0.0,0.0,0.4818311618113953,INV>CHI,13,2,021RS.cha.conv.txt-select.txt-rand.txt,SLI
37,37,0.0,0.0,0.0,0.0,0.0,0.0,0.2886751345948129,0.0,0.39826193440718716,CHI>INV,2,6,021RS.cha.conv.txt-select.txt-rand.txt,SLI
