participant	content
MOT	oh look what are you gonna do with that 
MOT	oh baby says thank_you 
MOT	does the baby need some milk 
CHI	no its nothing there Hagrid 
MOT	oh you're giving the baby cheerios 
MOT	and what about this what about this one where do you wanna put
CHI	I'm gon stack  and that's Rachel 
CHI	it's belly  
MOT	oh  very good 
CHI	he got a hat 
MOT	oh is the phone ringing 
MOT	that's your cup 
CHI	where's the baby 
MOT	oh look there's that  cups 
MOT	you're gonna take that one 
MOT	that's  
CHI	that's another baby 
MOT	that's the big sister that's the little baby 
MOT	oh good milk 
CHI	hello 
MOT	  
MOT	was it  shreddies 
CHI	yeah 
CHI	 
MOT	is she got ribbons in her hair 
MOT	oh for the baby okay 
MOT	oh oh wait is there another one in there 
MOT	oh she's in her jammies 
MOT	oh no we hafta do clean up 
MOT	oh the bigger baby needs some milk  
CHI	yeah 
CHI	yeah 
MOT	 look there are two cups 
MOT	okay does she want some milk 
MOT	that's her tummy 
MOT	is she going dodos 
CHI	hello 
MOT	oh look I got what's that 
CHI	there's toys in there 
MOT	are we gonna have a cup of tea 
CHI	it's a it's my it's a phone 
CHI	that's Rachel 
MOT	is there a phone ringing 
CHI	 
CHI	yeah 
MOT	and that goes on top of that 
MOT	okay 
MOT	she's not sleeping 
CHI	what's in your cup Hagrid 
CHI	yeah 
CHI	 the baby 
CHI	it's a baby 
MOT	there's nothing there 
CHI	yeah 
CHI	that's Rachel 
MOT	that's Rachel 
MOT	is there anyone there 
CHI	no that block 
MOT	it's your oh very good Hagrid 
MOT	who do you hafta call 
MOT	what about on there 
MOT	we'll put the little baby next to the big sister 
MOT	gonna stir my tea 
CHI	hello 
CHI	 go dodos 
CHI	 no he's not sleeping now 
MOT	good milk 
MOT	okay here we do that  
MOT	yeah is it right there 
MOT	there's nothing there 
MOT	okay 
CHI	and I like the truck that has some milk 
MOT	okay here's another baby Hagrid 
CHI	sorry Mom 
MOT	is it Nana Mary 
MOT	mm it's delicious 
MOT	is it good milk 
MOT	stomp  
MOT	Mommy's glasses 
CHI	I wanna drink it 
MOT	yeah that's her belly 
MOT	oh what is the elephant saying 
MOT	is she gonna have some cheerios 
MOT	I think she hasta go dodos 
CHI	it's my phone 
CHI	I'm stirring my cheerios 
CHI	it's my cup 
CHI	  
CHI	that's a spoon 
CHI	I need the phone 
MOT	Mommy's on the other end of the phone 
CHI	down 
MOT	oh well thank_you Hagrid 
CHI	mm  
CHI	oh you want some have some cheerios that's a have  no the baby 
CHI	that's  
MOT	    
MOT	okay oh it's delicious 
MOT	are you gonna put the milk in the plate 
CHI	no like this  
CHI	put it that way 
CHI	oh oh where the baby where the  
MOT	oh it's a tiny baby 
MOT	oh good milk 
CHI	  I'll touch it 
CHI	here Mom 
MOT	oh she's gonna have some milk first  
CHI	Rachel  cup have a cup  cup of tea 
CHI	yeah 
CHI	Mommy has milk 
MOT	mm  those are good cheerios 
CHI	and there's no milk in there Mom 
MOT	very good 
MOT	it's delicious 
CHI	mm 
MOT	who you gonna call 
MOT	look 
MOT	hello 
CHI	this is jammies 
MOT	oh I'm gonna stir my tea 
MOT	you put the baby over there 
CHI	he wants the baby 
MOT	and what about the other the other block 
CHI	yeah 
CHI	it's a  
MOT	hello hi Hagrid 
MOT	 how bout like that 
MOT	is it 
MOT	he's got a hat 
CHI	on Mommy's knee and on Mommy's glasses 
CHI	Mommy  has some milk 
MOT	you wanna put milk instead 
MOT	you gonna stir your tea 
CHI	 broke 
MOT	or she 
MOT	you're putting the milk in the teacup 
MOT	okay  
MOT	 oh no it fell down 
MOT	are you gonna stack em 
MOT	there's milk in the cup 
MOT	 do you think this baby needs some milk 
CHI	oh oh for  oh lemme  milk 
MOT	oh try again 
CHI	oh 
MOT	what is it 
MOT	who's on the other end of the phone 
MOT	where's the baby 
MOT	 
MOT	is she going dodos 
CHI	it's mine 
