,time,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2,cosine_semanticL,partner_direction,utterance_length1,utterance_length2,condition_info
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11214164115863401,CHI>MOT,3,2,time169-time167-cond0
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21860993243736038,MOT>CHI,2,1,time169-time167-cond0
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28730340765628815,CHI>MOT,1,7,time169-time167-cond0
3,3,0.3779644730092272,0.0,0.3779644730092272,0.0,0.4364357804719848,0.2886751345948129,0.4364357804719848,0.2886751345948129,0.599604025696308,MOT>CHI,7,3,time169-time167-cond0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23558017122609842,CHI>MOT,3,1,time169-time167-cond0
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4646594882559819,MOT>CHI,1,8,time169-time167-cond0
6,6,0.0,0.0,0.1259881576697424,0.0,0.0,0.0,0.0,0.0,0.2639317089154517,CHI>MOT,8,5,time169-time167-cond0
7,7,0.47809144373375745,0.0,0.47809144373375745,0.0,0.0,0.0,0.0,0.0,0.3326438696353833,MOT>CHI,5,7,time169-time167-cond0
8,8,0.6324555320336759,0.0,0.6324555320336759,0.0,0.0,0.0,0.0,0.0,0.2437968027756341,CHI>MOT,7,1,time169-time167-cond0
9,9,0.4472135954999579,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.1439614797256843,MOT>CHI,1,5,time169-time167-cond0
10,10,0.0,0.0,0.33333333333333337,0.0,0.19999999999999996,0.0,0.3999999999999999,0.0,0.20426634089545537,CHI>MOT,5,5,time169-time167-cond0
11,11,0.3651483716701107,0.0,0.7302967433402214,0.2886751345948129,0.0,0.0,0.22360679774997896,0.0,0.2657532553149615,MOT>CHI,5,4,time169-time167-cond0
12,12,0.3535533905932738,0.0,0.545544725589981,0.19245008972987526,0.0,0.0,0.0,0.0,0.3511125611774031,CHI>MOT,4,10,time169-time167-cond0
13,13,0.2886751345948129,0.0,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.23101300142393766,MOT>CHI,10,1,time169-time167-cond0
14,14,0.35355339059327373,0.0,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.17438242956787686,CHI>MOT,1,8,time169-time167-cond0
15,15,0.4743416490252569,0.0,0.5669467095138409,0.13363062095621217,0.0,0.0,0.07372097807744857,0.0,0.45752714506267456,MOT>CHI,8,9,time169-time167-cond0
16,16,0.22360679774997896,0.0,0.5773502691896258,0.6123724356957945,0.0,0.0,0.10425720702853739,0.0,0.45686011923807934,CHI>MOT,9,4,time169-time167-cond0
17,17,0.0,0.0,0.5619514869490164,0.0,0.0,0.0,0.0,0.0,0.34615492332991216,MOT>CHI,4,12,time169-time167-cond0
18,18,0.0,0.0,0.0,0.0,0.11785113019775793,0.0,0.11785113019775793,0.0,0.39444616441323355,CHI>MOT,12,4,time169-time167-cond0
19,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22434737883023448,MOT>CHI,4,1,time169-time167-cond0
20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1604925024971705,CHI>MOT,1,10,time169-time167-cond0
21,21,0.7412493166611013,0.1178511301977579,0.8249579113843053,0.0,0.07537783614444091,0.0,0.15075567228888181,0.0,0.26094332781292284,MOT>CHI,10,9,time169-time167-cond0
22,22,0.5613413993878117,0.0,0.657951694959769,0.0,0.0,0.0,0.09534625892455924,0.0,0.4069007389664232,CHI>MOT,9,10,time169-time167-cond0
23,23,0.47140452079103173,0.0,0.47140452079103173,0.0,0.0,0.0,0.0,0.0,0.4132339314221767,MOT>CHI,10,3,time169-time167-cond0
24,24,0.4364357804719848,0.0,0.4364357804719848,0.0,0.0,0.0,0.0,0.0,0.4100510164686564,CHI>MOT,3,5,time169-time167-cond0
25,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36361850004444995,MOT>CHI,5,3,time169-time167-cond0
26,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212800129027663,CHI>MOT,3,2,time169-time167-cond0
27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22340747042276055,MOT>CHI,2,2,time169-time167-cond0
28,28,0.15811388300841897,0.0,0.15811388300841897,0.0,0.0,0.0,0.0,0.0,0.22877341698800857,CHI>MOT,2,8,time169-time167-cond0
29,29,0.11180339887498948,0.0,0.7826237921249264,0.4364357804719848,0.0,0.0,0.0,0.0,0.29062393166368383,MOT>CHI,8,4,time169-time167-cond0
30,30,0.15075567228888181,0.0,0.7905694150420948,0.40824829046386296,0.0,0.0,0.0,0.0,0.2636954148225711,CHI>MOT,4,14,time169-time167-cond0
31,31,0.5393598899705937,0.0,0.5,0.0,0.0,0.0,0.17541160386140586,0.0,0.28228082363222207,MOT>CHI,14,5,time169-time167-cond0
32,32,0.6201736729460423,0.0,0.35355339059327373,0.0,0.0,0.0,0.14907119849998599,0.0,0.4840581821253047,CHI>MOT,5,9,time169-time167-cond0
33,33,0.2773500981126146,0.0,0.30151134457776363,0.0,0.0,0.0,0.0,0.0,0.2678781407893668,MOT>CHI,9,1,time169-time167-cond0
34,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2437968027756341,CHI>MOT,1,1,time169-time167-cond0
35,35,0.5773502691896258,0.0,0.8944271909999159,0.0,0.0,0.0,0.0,0.0,,MOT>CHI,1,3,time169-time167-cond0
