condition_info,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2
time163-time165-cond0,0.13172504747047972,0.2250809029893808,0.052072034204589175,0.3262536864768363,0.4395984901728391,0.13907124164996412,0.4709591816387471,0.16599707627255694
time111-time169-cond0,0.9340605277955304,0.71162866797697,0.9595249776614935,0.7928158586842483,0.44499430522150357,0.13699059606332656,0.4919435248031096,0.14724089731048237
time141-time117-cond0,0.8456194229767805,0.6117102467151122,0.8930273098486629,0.6664784188407299,0.4334736846354677,0.2042594916671303,0.5174336448626918,0.2332225511406933
time108-time120-cond1,0.9066695358917501,0.7058205906066549,0.9041095890410961,0.7429856744863402,0.4070955380300638,0.031187525089724288,0.43280024631878217,0.05885295192884479
time121-time167-cond0,0.9315334104827376,0.5676638144491968,0.9528307310467202,0.7059572994390874,0.28401976149091834,0.04779599596079242,0.37623467759923057,0.055961711238354785
time124-time126-cond1,0.8328858087436988,0.6624221667640044,0.8692785330997633,0.7223177143753354,0.4236253350634953,0.07319717380711253,0.4712834343646506,0.08964862878988494
time103-time115-cond0,0.7815201158983779,0.5898763029246195,0.7991889605368683,0.5525175383662644,0.46965321139605953,0.15297323202638816,0.4578749636435227,0.15472570054155557
time134-time102-cond1,0.0,0.010526899013331488,0.0,0.010029631182640405,0.0732075407064901,0.0,0.07086141896664472,0.0
time120-time132-cond1,0.7060180864974626,0.13842976490780923,0.7788618152239604,0.18293204279013398,0.10295171891491404,0.0,0.17699156320232867,0.0
time117-time125-cond0,0.844350502820853,0.6137933692680048,0.8782147654171306,0.6837218031441878,0.5456815227215335,0.17462050702358725,0.5926754372190884,0.20626530879230184
time122-time108-cond1,0.9700660880756309,0.7155479762881656,0.9780175477745504,0.7769384908679898,0.5593229810953951,0.0926277647447077,0.6637958481337822,0.12892819995195431
time139-time119-cond0,0.7648065347677575,0.5919144384021298,0.7479640310079066,0.6849538040495863,0.4568478156748011,0.06823974987989502,0.48464881794794873,0.07699235565451469
time169-time167-cond0,0.8904742254638112,0.6141944653403288,0.9605843695071813,0.6909520926835989,0.2641601589592388,0.049547686273224624,0.34271888417493157,0.06615307793709582
time127-time149-cond0,0.9294490996149485,0.6085594316111615,0.9476601434370832,0.6669815864075413,0.4681690832610877,0.16309447070124022,0.5304221220530245,0.16775642429698606
time135-time157-cond0,0.8480524705143607,0.5948625281645068,0.9062872459979413,0.6822251990607835,0.5066443770054451,0.15756552919126898,0.5856156218868851,0.15971720818889654
time119-time133-cond0,0.27241086328080505,0.08688706007166885,0.26827493683145426,0.22474586490478693,0.140125373186612,0.0,0.19950299256733292,0.0
time159-time169-cond0,0.8012867996366629,0.5151825295585172,0.8138141208108954,0.5325819333200715,0.20349656011392148,0.029338494102363562,0.23608546922683837,0.03139893640036376
time109-time117-cond0,0.9203886219519668,0.747843604996034,0.9511445409956221,0.7605694756369998,0.6132175615153231,0.22160070603907145,0.6218534486057044,0.22236373826286845
time145-time103-cond0,0.6869407181124171,0.48822512685904285,0.707190697467381,0.5116879879444746,0.49408711152089957,0.15860979812996176,0.5352292743644297,0.1685317430128473
time125-time111-cond0,0.774475404962102,0.38792726809319106,0.8202709830207477,0.3457867830830799,0.07111493267835337,0.0,0.06840007239637917,0.0
time102-time122-cond1,0.8660254037844387,0.35355339059327373,0.8660254037844387,0.35355339059327373,0.0,0.0,0.0,0.0
time138-time132-cond1,0.5782276584230778,0.09313806308475994,0.5911876367297364,0.1186497800617541,0.025342864042323516,0.0,0.023095519095636247,0.0
