condition_info,time,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_tok3,syntax_penn_lem1,syntax_penn_lem2,syntax_penn_lem3,lexical_tok1,lexical_tok2,lexical_tok3,lexical_lem1,lexical_lem2,lexical_lem3,cosine_semanticL,partner_direction,utterance_length1,utterance_length2,condition,age
120.cha.conv.txt,0,0.08192319205190406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40032038451271784,0.0,0.0,,CHI:>FAT:,2,60,ASD,43
120.cha.conv.txt,1,0.12953194003770996,0.0,0.0,0.12741179785940637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42549078719284794,FAT:>CHI:,60,4,ASD,43
120.cha.conv.txt,2,0.0,0.0,0.0,0.0,0.0,0.0,0.35355339059327373,0.0,0.0,0.35355339059327373,0.0,0.0,0.5150212681730291,CHI:>FAT:,4,2,ASD,43
120.cha.conv.txt,3,0.0,0.0,0.0,0.0,0.0,0.0,0.19611613513818402,0.0,0.0,0.19611613513818402,0.0,0.0,0.4026008542791397,FAT:>CHI:,2,7,ASD,43
120.cha.conv.txt,4,0.23904572186687872,0.0,0.0,0.23904572186687872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,CHI:>FAT:,7,5,ASD,43
120.cha.conv.txt,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,FAT:>CHI:,5,4,ASD,43
120.cha.conv.txt,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35056687509111206,CHI:>FAT:,4,5,ASD,43
120.cha.conv.txt,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35056687509111206,FAT:>CHI:,5,4,ASD,43
120.cha.conv.txt,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20501403791742845,CHI:>FAT:,4,6,ASD,43
120.cha.conv.txt,9,0.0,0.0,0.0,0.0,0.0,0.0,0.8944271909999159,0.7559289460184544,0.0,0.8944271909999159,0.7559289460184544,0.0,0.9414859788261208,FAT:>CHI:,6,2,ASD,43
120.cha.conv.txt,10,0.0,0.0,0.0,0.0,0.0,0.0,0.3086066999241838,0.23570226039551587,0.0,0.3086066999241838,0.23570226039551587,0.0,0.6646856185943626,CHI:>FAT:,2,15,ASD,43
120.cha.conv.txt,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3908532849497065,FAT:>CHI:,15,5,ASD,43
120.cha.conv.txt,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0408248290463863,0.0,0.0,0.03834824944236852,0.0,0.0,0.31407446223734126,CHI:>FAT:,5,58,ASD,43
120.cha.conv.txt,13,0.6092717958449424,0.47140452079103173,0.0,0.595879571531124,0.47140452079103173,0.0,0.06454972243679027,0.0,0.0,0.06063390625908324,0.0,0.0,0.624689361730645,FAT:>CHI:,58,2,ASD,43
120.cha.conv.txt,14,0.5222329678670935,0.0,0.0,0.5222329678670935,0.0,0.0,0.2581988897471611,0.2,0.0,0.2581988897471611,0.2,0.0,0.5667897670547628,CHI:>FAT:,2,20,ASD,43
120.cha.conv.txt,15,0.30151134457776363,0.0,0.0,0.6123724356957945,0.13608276348795434,0.0,0.0,0.0,0.0,0.14907119849998599,0.0,0.0,0.2628129315394331,FAT:>CHI:,20,4,ASD,43
120.cha.conv.txt,16,0.5163977794943222,0.0,0.0,0.6708203932499369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08944270838419055,CHI:>FAT:,4,3,ASD,43
120.cha.conv.txt,17,0.0,0.0,0.0,0.0,0.0,0.0,0.8164965809277259,0.7071067811865475,0.0,0.8164965809277259,0.7071067811865475,0.0,0.8826533567480678,FAT:>CHI:,3,2,ASD,43
120.cha.conv.txt,18,0.39735970711951313,0.0,0.0,0.3810003810005715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2744917269613387,CHI:>FAT:,2,28,ASD,43
120.cha.conv.txt,19,0.588348405414552,0.0,0.0,0.6556100681071857,0.0,0.0,0.16329931618554522,0.0,0.0,0.16329931618554522,0.0,0.0,0.6533723486501797,FAT:>CHI:,28,3,ASD,43
120.cha.conv.txt,20,0.0,0.0,0.0,0.0,0.0,0.0,0.8164965809277259,0.7071067811865475,0.0,0.8164965809277259,0.7071067811865475,0.0,0.9237704343843955,CHI:>FAT:,3,2,ASD,43
120.cha.conv.txt,21,0.0,0.8320502943378437,0.0,0.0,0.8320502943378437,0.0,0.4999999999999999,0.0,0.0,0.4999999999999999,0.0,0.0,0.8900512147448171,FAT:>CHI:,2,8,ASD,43
120.cha.conv.txt,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14360166999022617,CHI:>FAT:,8,7,ASD,43
120.cha.conv.txt,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14113429426742652,FAT:>CHI:,7,2,ASD,43
120.cha.conv.txt,24,0.0,0.0,0.0,0.0,0.0,0.0,0.40406101782088427,0.0,0.0,0.38851434494290565,0.0,0.0,0.658663870122391,CHI:>FAT:,2,31,ASD,43
120.cha.conv.txt,25,0.44901325506693723,0.28867513459481287,0.1270001270001905,0.5619514869490163,0.3849001794597505,0.1270001270001905,0.2857142857142857,0.0,0.0,0.27472112789737807,0.0,0.0,0.593890134501628,FAT:>CHI:,31,4,ASD,43
120.cha.conv.txt,26,0.7239227659930267,0.5862103817605492,0.2465984809580359,0.7504787743864564,0.692820323027551,0.3380617018914066,0.30338993810845893,0.0,0.0,0.28808297984901593,0.0,0.0,0.7387502148231236,CHI:>FAT:,4,72,ASD,43
120.cha.conv.txt,27,0.0955636965134993,0.0,0.0,0.14852213144650112,0.0,0.0,0.04767312946227962,0.0,0.0,0.045267873021259265,0.0,0.0,0.20336492732890432,FAT:>CHI:,72,2,ASD,43
120.cha.conv.txt,28,0.4423258684646914,0.0,0.0,0.1543033499620919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3475360746587691,CHI:>FAT:,2,15,ASD,43
120.cha.conv.txt,29,0.0,0.0,0.0,0.0,0.0,0.0,0.3086066999241838,0.0,0.0,0.3086066999241838,0.0,0.0,0.13336939328284592,FAT:>CHI:,15,2,ASD,43
120.cha.conv.txt,30,0.14907119849998599,0.0,0.0,0.30151134457776363,0.0,0.0,0.10783277320343841,0.0,0.0,0.10783277320343841,0.0,0.0,0.1727370518429734,CHI:>FAT:,2,25,ASD,43
120.cha.conv.txt,31,0.0,0.0,0.0,0.14815943949743846,0.0,0.0,0.1363988678940947,0.0,0.0,0.1363988678940947,0.0,0.0,,FAT:>CHI:,25,5,ASD,43
120.cha.conv.txt,32,0.3051285766293646,0.11215443081840887,0.0,0.3105295017040594,0.11009637651263607,0.0,0.14999999999999997,0.07001400420140048,0.0,0.14301938838683884,0.07001400420140048,0.0,,CHI:>FAT:,5,40,ASD,43
127.cha.conv.txt,0,0.5590169943749475,0.1690308509457033,0.0,0.5809475019311126,0.26688025634181184,0.1178511301977579,0.055427399547369326,0.0,0.0,0.055427399547369326,0.0,0.0,0.5765485407933948,MOT:>CHI:,30,13,TYP,37
