,time,syntax_penn_tok1,syntax_penn_tok2,syntax_penn_lem1,syntax_penn_lem2,lexical_tok1,lexical_tok2,lexical_lem1,lexical_lem2,cosine_semanticL,partner_direction,utterance_length1,utterance_length2,condition_info,condition
0,0,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.18257418583505536,0.0,0.4489311160410425,INV:>CHI:,6,5,077EG.cha.conv.txt,TD
1,1,0.31622776601683794,0.22360679774997896,0.40089186286863654,0.22360679774997896,0.0,0.0,0.0,0.0,0.6468743844913953,CHI:>INV:,5,6,077EG.cha.conv.txt,TD
2,2,0.31622776601683794,0.22360679774997896,0.40089186286863654,0.22360679774997896,0.0,0.0,0.0,0.0,0.6468743844913953,INV:>CHI:,6,5,077EG.cha.conv.txt,TD
3,3,0.2886751345948129,0.0,0.2886751345948129,0.0,0.22360679774997896,0.0,0.22360679774997896,0.0,0.5898058688623203,CHI:>INV:,5,4,077EG.cha.conv.txt,TD
4,4,0.4364357804719848,0.40824829046386296,0.2581988897471611,0.0,0.2886751345948129,0.0,0.2886751345948129,0.0,0.5008872825553594,INV:>CHI:,4,8,077EG.cha.conv.txt,TD
5,5,0.6172133998483676,0.43301270189221935,0.5477225575051661,0.0,0.2182178902359924,0.0,0.2182178902359924,0.0,0.5805193397295354,CHI:>INV:,8,7,077EG.cha.conv.txt,TD
6,6,0.2886751345948129,0.2886751345948129,0.0,0.0,0.2182178902359924,0.0,0.2182178902359924,0.0,0.4434712714927356,INV:>CHI:,7,3,077EG.cha.conv.txt,TD
7,7,0.27386127875258304,0.0,0.5107539184552492,0.0,0.0,0.0,0.0,0.0,0.4187548701911057,CHI:>INV:,3,23,077EG.cha.conv.txt,TD
8,8,0.5378528742004771,0.16012815380508716,0.4938647983247948,0.14907119849998599,0.1315903389919538,0.0,0.1315903389919538,0.0,0.6009553499635342,INV:>CHI:,23,7,077EG.cha.conv.txt,TD
9,9,0.21081851067789195,0.0,0.28603877677367767,0.1543033499620919,0.0,0.0,0.0,0.0,0.5702126430488962,CHI:>INV:,7,8,077EG.cha.conv.txt,TD
10,10,0.14142135623730948,0.0,0.47809144373375745,0.0,0.0,0.0,0.0,0.0,0.4290078565926384,INV:>CHI:,8,5,077EG.cha.conv.txt,TD
11,11,0.22360679774997896,0.22360679774997896,0.18257418583505536,0.0,0.18257418583505536,0.0,0.18257418583505536,0.0,0.41460530124636685,CHI:>INV:,5,6,077EG.cha.conv.txt,TD
12,12,0.3651483716701107,0.0,0.3651483716701107,0.0,0.18257418583505536,0.0,0.18257418583505536,0.0,0.23929398379290445,INV:>CHI:,6,5,077EG.cha.conv.txt,TD
13,13,0.5547001962252291,0.0,0.5547001962252291,0.0,0.6708203932499369,0.5547001962252291,0.6708203932499369,0.5547001962252291,0.716636303058843,CHI:>INV:,5,14,077EG.cha.conv.txt,TD
14,14,0.11547005383792516,0.0,0.0,0.0,0.0,0.0,0.14433756729740646,0.0,0.4285711616090211,INV:>CHI:,14,3,077EG.cha.conv.txt,TD
15,15,0.0,0.0,0.0,0.0,0.23354968324845693,0.24999999999999994,0.30588764516074907,0.24999999999999994,0.5938206801064709,CHI:>INV:,3,31,077EG.cha.conv.txt,TD
16,16,0.6013377943029549,0.16012815380508713,0.5039526306789696,0.07624928516630233,0.12060453783110543,0.0,0.1777046633277277,0.0,0.5083714518686958,INV:>CHI:,31,5,077EG.cha.conv.txt,TD
17,17,0.12126781251816648,0.0,0.24253562503633297,0.0,0.09325048082403138,0.0,0.09325048082403138,0.0,0.43764246483997105,CHI:>INV:,5,15,077EG.cha.conv.txt,TD
18,18,0.12126781251816648,0.0,0.24253562503633297,0.0,0.09325048082403138,0.0,0.09325048082403138,0.0,0.43764246483997105,INV:>CHI:,15,5,077EG.cha.conv.txt,TD
19,19,0.1025978352085154,0.0,0.17342199390482396,0.0,0.0,0.0,0.0,0.0,0.6743275152757623,CHI:>INV:,5,11,077EG.cha.conv.txt,TD
20,20,0.1025978352085154,0.0,0.17342199390482396,0.0,0.0,0.0,0.0,0.0,0.6743275152757623,INV:>CHI:,11,5,077EG.cha.conv.txt,TD
21,21,0.22360679774997896,0.0,0.2834733547569204,0.0,0.0,0.0,0.0,0.0,0.7120817864876041,CHI:>INV:,5,12,077EG.cha.conv.txt,TD
22,22,0.22360679774997896,0.0,0.2834733547569204,0.0,0.0,0.0,0.0,0.0,0.7120817864876041,INV:>CHI:,12,5,077EG.cha.conv.txt,TD
23,23,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.18257418583505536,0.0,0.4489311160410425,CHI:>INV:,5,6,077EG.cha.conv.txt,TD
24,24,0.4008918628686366,0.3872983346207417,0.5,0.47809144373375745,0.31622776601683794,0.0,0.31622776601683794,0.0,0.4497724924041433,INV:>CHI:,6,13,077EG.cha.conv.txt,TD
25,25,0.0,0.0,0.0,0.0,0.5773502691896257,0.2886751345948129,0.5773502691896257,0.2886751345948129,0.7667280748074057,CHI:>INV:,13,5,077EG.cha.conv.txt,TD
26,26,0.0,0.0,0.0,0.0,0.5477225575051661,0.22360679774997896,0.5477225575051661,0.22360679774997896,0.9148365867893867,INV:>CHI:,5,6,077EG.cha.conv.txt,TD
27,27,0.0,0.0,0.0,0.0,0.45291081365783836,0.12909944487358055,0.5661385170722979,0.3872983346207417,0.7110140265546195,CHI:>INV:,6,13,077EG.cha.conv.txt,TD
28,28,0.43301270189221935,0.43301270189221935,0.3872983346207417,0.2672612419124244,0.17541160386140586,0.0,0.17541160386140586,0.0,0.5706657074833569,INV:>CHI:,13,6,077EG.cha.conv.txt,TD
29,29,0.0,0.0,0.0,0.0,0.24701609087778548,0.26726124191242434,0.24701609087778548,0.26726124191242434,0.615886559106665,CHI:>INV:,6,31,077EG.cha.conv.txt,TD
30,30,0.47809144373375745,0.06933752452815364,0.3865103412619629,0.0668153104781061,0.1164445019479164,0.0,0.1164445019479164,0.0,0.45536242280379324,INV:>CHI:,31,5,077EG.cha.conv.txt,TD
31,31,0.35777087639996635,0.0,0.2631806779839076,0.0,0.0,0.0,0.0,0.0,0.43826690282385816,CHI:>INV:,5,17,077EG.cha.conv.txt,TD
32,32,0.35777087639996635,0.0,0.2631806779839076,0.0,0.0,0.0,0.0,0.0,0.43826690282385816,INV:>CHI:,17,5,077EG.cha.conv.txt,TD
33,33,0.1025978352085154,0.0,0.17342199390482396,0.0,0.0,0.0,0.0,0.0,0.6743275152757623,CHI:>INV:,5,11,077EG.cha.conv.txt,TD
34,34,0.1025978352085154,0.0,0.17342199390482396,0.0,0.0,0.0,0.0,0.0,0.6743275152757623,INV:>CHI:,11,5,077EG.cha.conv.txt,TD
35,35,0.3872983346207417,0.1889822365046136,0.4364357804719848,0.1889822365046136,0.0,0.0,0.0,0.0,0.6933474932710717,CHI:>INV:,5,8,077EG.cha.conv.txt,TD
36,36,0.3872983346207417,0.1889822365046136,0.4364357804719848,0.1889822365046136,0.0,0.0,0.0,0.0,0.6933474932710717,INV:>CHI:,8,5,077EG.cha.conv.txt,TD
37,37,0.0,0.0,0.0,0.0,0.18257418583505536,0.0,0.18257418583505536,0.0,0.4489311160410425,CHI:>INV:,5,6,077EG.cha.conv.txt,TD
38,38,0.43301270189221935,0.19999999999999996,0.33806170189140655,0.3999999999999999,0.0,0.0,0.16666666666666669,0.0,0.4223824856419809,INV:>CHI:,6,6,077EG.cha.conv.txt,TD
39,39,0.21320071635561041,0.0,0.16012815380508716,0.18257418583505536,0.45291081365783836,0.3872983346207417,0.5270462766947299,0.3872983346207417,0.7190445880466604,CHI:>INV:,6,13,077EG.cha.conv.txt,TD
40,40,0.468292905790847,0.0,0.4811252243246882,0.0,0.0,0.0,0.0,0.0,0.22103752853786485,INV:>CHI:,13,4,077EG.cha.conv.txt,TD
41,41,0.41602514716892186,0.0,0.508000508000762,0.0,0.282842712474619,0.31108550841912763,0.282842712474619,0.31108550841912763,0.5690227648624562,CHI:>INV:,4,30,077EG.cha.conv.txt,TD
42,42,0.6175402271944638,0.2963188789948769,0.6004693000326412,0.2258769757263128,0.23533936216582083,0.0,0.23533936216582083,0.0,0.5891304858105273,INV:>CHI:,30,11,077EG.cha.conv.txt,TD
43,43,0.41602514716892186,0.19999999999999996,0.5276448530110863,0.19999999999999996,0.08362420100070908,0.0,0.08362420100070908,0.0,0.5200146338176926,CHI:>INV:,11,11,077EG.cha.conv.txt,TD
44,44,0.10846522890932808,0.0,0.18333969940564224,0.0,0.0,0.0,0.0,0.0,0.6454612259815575,INV:>CHI:,11,5,077EG.cha.conv.txt,TD
45,45,0.3872983346207417,0.1889822365046136,0.4364357804719848,0.1889822365046136,0.0,0.0,0.0,0.0,0.6933474932710717,CHI:>INV:,5,8,077EG.cha.conv.txt,TD
46,46,0.5773502691896258,0.2182178902359924,0.5773502691896258,0.2182178902359924,0.0,0.0,0.0,0.0,0.36178363382813394,INV:>CHI:,8,4,077EG.cha.conv.txt,TD
47,47,0.30151134457776363,0.0,0.0,0.0,0.5773502691896258,0.5222329678670935,0.6681531047810609,0.5222329678670935,0.7807145947127866,CHI:>INV:,4,12,077EG.cha.conv.txt,TD
48,48,0.24253562503633297,0.15075567228888181,0.125,0.0,0.12909944487358055,0.0,0.23904572186687872,0.0,0.49403968995476877,INV:>CHI:,12,5,077EG.cha.conv.txt,TD
